id,player_name,appearances_time, field_goal_percentage ,shots_made,shots_try, three_pointer_percentage ,three_shots_made,three_shots_try, free_throws_percentage ,free_throw_made,free_throws_try,rebounds,assists,steals,blocks,turnovers,fouls,scores,is_allstar
82,Malcolm Brogdon,29.9,0.49,5.1,10.5,0.39,1.3,3.4,0.88,1.6,1.8,3.3,3.2,0.9,0.3,1.4,2.7,13,0
291,Al Horford,31.6,0.49,5.1,10.5,0.43,1.3,3.1,0.78,1.3,1.7,7.4,4.7,0.6,1.1,1.8,1.9,12.9,1
367,Jeremy Lamb,24.6,0.46,4.8,10.4,0.37,1.2,3.2,0.86,2.2,2.6,4.1,2.3,0.8,0.4,1.2,1.7,12.9,0
41,Kent Bazemore,27.5,0.42,4.4,10.4,0.39,1.7,4.2,0.8,2.5,3.1,3.8,3.5,1.5,0.7,2.4,2.3,12.9,0
547,Josh Richardson,33.2,0.45,4.9,10.9,0.38,1.6,4.1,0.85,1.5,1.8,3.5,2.9,1.5,0.9,1.7,2.5,12.9,0
114,Willie Cauley0Stein,28,0.5,5.3,10.6,0.25,0,0.2,0.62,2.1,3.4,7,2.4,1.1,0.9,1.5,2.5,12.8,0
95,Trey Burke,21.8,0.5,5.4,10.7,0.36,1.1,2.9,0.65,1,1.6,2,4.7,0.7,0.1,1.2,1.2,12.8,0
623,foreign_player,22.4,0.57,5.1,8.9,0.41,0.4,1,0.81,2.2,2.7,8.6,1.1,0.4,0.9,1.5,2.5,12.7,0
620,Myles Turner,28.2,0.48,4.7,9.8,0.36,0.9,2.4,0.78,2.5,3.2,6.4,1.3,0.6,1.8,1.5,2.9,12.7,0
511,Elfrid Payton,28.7,0.49,5.2,10.6,0.33,0.5,1.5,0.65,1.7,2.7,4.3,6.2,1.3,0.3,2.7,2.3,12.7,0
407,Wesley Matthews,33.8,0.41,4.5,11.1,0.38,2.4,6.4,0.82,1.3,1.6,3.1,2.7,1.2,0.3,1.3,2.2,12.7,0
297,Serge Ibaka,27.5,0.48,5,10.3,0.36,1.4,3.9,0.8,1.2,1.6,6.3,0.8,0.4,1.3,1.2,2.8,12.6,0
141,Robert Covington,31.7,0.41,4.3,10.5,0.37,2.5,6.9,0.85,1.5,1.7,5.4,2,1.7,0.9,1.6,3,12.6,0
502,Jabari Parker,24,0.48,5.2,10.7,0.38,1,2.6,0.74,1.3,1.7,4.9,1.9,0.8,0.3,1.5,1.6,12.6,0
166,Spencer Dinwiddie,28.8,0.39,4.1,10.5,0.33,1.8,5.4,0.81,2.7,3.4,3.2,6.6,0.9,0.3,1.6,2.3,12.6,0
447,E'Twaun Moore,31.5,0.51,5.2,10.1,0.43,1.6,3.7,0.71,0.6,0.8,2.9,2.3,1,0.1,1.2,2.2,12.5,0
132,Darren Collison,29.2,0.5,4.6,9.2,0.47,1.4,3,0.88,1.8,2.1,2.6,5.3,1.3,0.2,1.2,1.8,12.4,0
195,Derrick Favors,28,0.56,5.1,9.1,0.22,0.2,0.8,0.65,1.8,2.8,7.2,1.3,0.7,1.1,1.1,2.1,12.3,0
222,Taj Gibson,33.2,0.58,5.2,9,0.2,0.1,0.4,0.77,1.7,2.3,7.1,1.2,0.8,0.7,1.1,2.7,12.2,0
53,Patrick Beverley,30.4,0.4,4.4,10.8,0.4,2.2,5.5,0.82,1.3,1.5,4.1,2.9,1.7,0.5,2.3,3.1,12.2,0
283,Justin Holiday,31.5,0.37,4,10.9,0.36,2.2,6.2,0.82,1.9,2.3,4,2.1,1.1,0.4,1.3,1.9,12.2,0
380,Caris LeVert,26.3,0.44,4.5,10.4,0.35,1.2,3.5,0.71,1.9,2.6,3.7,4.2,1.2,0.3,2.2,2.2,12.1,0
235,Gerald Green,22.7,0.41,4.1,10.1,0.37,2.7,7.3,0.85,1.2,1.5,3.2,0.6,0.6,0.4,0.8,2.1,12.1,0
45,Marco Belinelli,24.3,0.44,4.2,9.6,0.38,1.9,4.9,0.91,1.9,2,1.9,1.9,0.8,0.2,1.2,1.1,12.1,0
479,Dirk Nowitzki,24.7,0.46,4.5,9.8,0.41,1.8,4.4,0.9,1.3,1.4,5.7,1.6,0.6,0.6,0.7,1.9,12,0
303,Andre Ingram,32,0.47,4,8.5,0.56,2.5,4.5,1,1.5,1.5,3,3.5,1.5,1.5,1.5,1.5,12,0
373,Courtney Lee,30.4,0.45,4.5,9.9,0.41,1.5,3.7,0.92,1.5,1.6,2.9,2.4,1.1,0.2,1.1,1.4,12,0
